"","industry","Rsq","DWH","DWH-p-val","J","J-p-val","a","SE(a)","t(a)","b","SE(b)","t(b)","s","SE(s)","t(s)","h","SE(h)","t(h)","psi.b","SE(psi.b)","t(psi.b)","psi.s","SE(psi.s)","t(psi.s)","psi.h","SE(psi.h)","t(psi.h)"
"22","ElcEq","0.731174584917572","6.99065424793512","0.072196250701905","7.70078123819342","0.103174724107627","0.000222846514181823","0.00178529263244245","0.124823521999835","1.35906797322089","0.0648121288362598","20.9693462878594","-0.310297686526999","0.117917216074435","-2.63148755421027","0.0863311171727352","0.0861774935531474","1.00178264200145","-0.132213217406203","0.0841421752122028","-1.57130733871293","0.443329492763551","0.135108037217157","3.28129622704084","0.0176838685217468","0.110262799585031","0.160379281029497"
"23","Autos","0.555557609376434","16.1540309891249","0.00105443525982792","18.0385956198146","0.00121284699390078","-0.0035018984158685","0.00305876804227593","-1.14487217319782","1.72378045833032","0.111043570579801","15.5234602897745","-0.198198022695175","0.202029295146523","-0.981036054951491","0.380429844489234","0.147649163198071","2.57657975330947","-0.493294956579576","0.14416202244366","-3.42180935185175","0.474060605267961","0.231482581054","2.04793208676628","0.12809553040173","0.18891487114981","0.678059538786389"
"24","Aero","0.566587226693174","10.350656572422","0.0158089673783923","4.99649892091948","0.287656916464963","-0.000233937729118334","0.00227847807390377","-0.102672802427948","1.17316463185335","0.0827164195902236","14.182971623593","-0.00103095017219496","0.150491738149283","-0.00685054332465939","0.832990561242731","0.109983946584824","7.5737467794929","-0.159834651728448","0.107386373431278","-1.48840720308648","0.00433273526906652","0.172431507761454","0.0251272828574957","-0.501315862047174","0.140722796171534","-3.5624353387357"
"25","Ships","0.500385439707044","12.5037050052836","0.00584258299195666","5.52327409924763","0.237691229787551","0.00123688931254766","0.00279342341664004","0.442786190299574","1.14762526155337","0.101410667967531","11.3166127839806","-0.120116464857385","0.184503485099074","-0.651025452407502","0.650549442955072","0.134840767336483","4.82457535510523","-0.0218308931927079","0.131656132050035","-0.165817519114197","0.421789959430895","0.211401732175606","1.99520578705819","-0.0174839273139836","0.172526722369166","-0.101340401497759"
"26","Guns","0.19929334851482","6.53422233980172","0.0883225861536089","5.54225743686903","0.236039912622518","0.00505087296500185","0.0028784529011377","1.75471794692403","0.717633261627142","0.104497524320376","6.86746663420438","-0.192176822097601","0.190119617666926","-1.01082057946423","0.48016611836259","0.138945208098163","3.45579473329774","-0.260371275308569","0.135663635163413","-1.91924147539567","0.198309479949683","0.217836625003427","0.910358760592086","-0.0212917935906518","0.177778292244944","-0.119765992359269"
"27","Gold","0.0208362185413092","2.7385977844553","0.433707805693365","5.62801412675658","0.228703996272934","-0.000219722835506587","0.00585323739968568","-0.0375386850904742","0.618976324623156","0.212492209716142","2.91293655165061","0.292285366538549","0.386601863835313","0.75603713763537","0.161497464353709","0.282540418926372","0.571590659373214","-0.499194337673679","0.27586745046339","-1.8095441736064","-0.074122103444505","0.442963468322655","-0.167332316872945","-0.218470931735914","0.361506192652682","-0.604335240104201"
"28","Mines","0.431457482494013","13.6054129992516","0.00349455769563667","1.85301174930476","0.76277060612498","-0.000308342478015222","0.00325590718084361","-0.094702477954341","1.28455750761281","0.118200384547065","10.8676254526171","-0.100517878808142","0.215050184818492","-0.467415914536328","0.483205711499958","0.157165226018397","3.07450778865927","-0.215043032115868","0.153453337288695","-1.40135780632326","0.545913367595751","0.246401749814653","2.2155417646441","-0.0681467272183481","0.201090529599996","-0.338885811051886"
"29","Coal","0.196654027409702","5.64272981746212","0.130346696224455","4.71790753382107","0.317485154151814","-0.00268491491223881","0.00606964714491843","-0.442351070520903","1.11523200572628","0.22034861153765","5.06121639679913","0.581852656307088","0.40089556237274","1.45138213270143","0.988099589434135","0.292986689238438","3.37250675790941","-0.0454060417081469","0.286067003393875","-0.158725197836358","0.166109909515068","0.459341005193492","0.36162656422345","-0.798976153712728","0.374872037519358","-2.13133035741955"
"30","Oil","0.456363111500774","15.9520767751926","0.00115992889335874","7.83223919569006","0.097920429092758","-0.00256451072026907","0.00254696687405744","-1.00688813285729","1.0759581542167","0.0924634663154687","11.636576013122","-0.0249821747806777","0.168225218524415","-0.148504338409","0.872273126679926","0.122944114248027","7.09487503338473","-0.299727178117434","0.120040451118327","-2.49688480279022","0.209252473754471","0.192750302643794","1.08561424228305","-0.372059342458261","0.157305134676829","-2.36520786955002"
"31","Util","0.263229228750691","0.947990262907044","0.81383387827656","5.19721977754895","0.26765344260368","0.00265337941831032","0.00182842534301946","1.45118280516094","0.4504937912092","0.0663779913420327","6.78679457002387","-0.18237316089147","0.120766098694887","-1.51013540109657","0.386190909648692","0.0882595437560852","4.37562775891945","0.00580365026383611","0.0861750520777634","0.067347220847618","0.00680959685025088","0.13837225046714","0.049212156536169","-0.125363286357685","0.112926751329125","-1.11012921988975"
